text_clean,label,text
hi di is yijue were meeting at pm at esaplanade tonight,0,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
i just got home babe are you still awake,0,"I just got home babe, are you still awake ?"
send ur birthdate with month and year i will tel u ur life partners name and the method of calculation reply must,0,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
hey mate hows u honeydid u ave good holiday gimmi de gossx,0,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault im basically good,0,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
princess i like to make love ltgt times per night hope thats not a problem,0,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
freemsg our records indicate you may be entitled to pounds for the accident you had to claim for free reply with yes to this msg to opt out text stop,1,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
she ran off with a younger man we will make pretty babies together,0,She ran off with a younger man. we will make pretty babies together :)
let ur heart be ur compass ur mind ur map ur soul ur guide and u will never loose in worldgnun sent via waysmscom,0,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
so that takes away some money worries,0,So that takes away some money worries
more games from thedailydraw dear helen dozens of free games with great prizeswith,1,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
thats cool i want to please you,0,Thats cool. I want to please you...
freemsg claim ur sms messagestext ok to nowuse webmobile ur mates etc join txtcom for pwk tc box lawu remove txtx or stop,1,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
customer service announcement we recently tried to make a delivery to you but were unable to do so please call to reschedule ref,1,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
also andros ice etc etc,0,Also andros ice etc etc
then ur physics get a,0,Then ur physics get a-?
yeah theres barely enough room for the two of us x has too many fucking shoes sorry man see you later,0,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
ill talk to the others and probably just come early tomorrow then,0,I'll talk to the others and probably just come early tomorrow then
hi frnd which is best way to avoid missunderstding wit our beloved ones,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
slept i thinkthis time ltgt pm is not dangerous,0,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
thanx but my birthday is over already,0,Thanx but my birthday is over already.
been up to ne thing interesting did you have a good birthday when are u wrking nxt i started uni today,0,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
the sign of maturity is not when we start saying big things but actually it is when we start understanding small things have a nice evening bslvyl,0,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
sounds like something that someone testing me would sayy,0,Sounds like something that someone testing me would sayy
i think its far more than that but find out check google maps for a place from your dorm,0,I think its far more than that but find out. Check google maps for a place from your dorm.
alright omw gotta change my order to a halfth,0,"Alright omw, gotta change my order to a half8th"
so hows the weather over there,0,So how's the weather over there?
you tell what happen dont behave like this to me ok no need to say,0,You tell what happen dont behave like this to me. Ok no need to say
baaaaaaaabe wake up i miss you i crave you i need you,0,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
my supervisor find me one lor i thk his students i havent ask her yet tell u aft i ask her,0,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
i dled d its very imp,0,I dled 3d its very imp
i donno its in your genes or something,0,I donno its in your genes or something
cant i feel nauseous im so pissed i didnt eat any sweets all week cause today i was planning to pig out i was dieting all week and now im not hungry,0,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
men always needs a beautiful intelligent caring loving adjustable cooperative wife but the law allows only one wife,0,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
am going to take bath ill place the key in window,0,Am going to take bath ill place the key in window:-)
thats a bit weird even where is the do supposed to be happening but good idea sure they will be in pub,0,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
why de you looking good only,0,Why de. You looking good only:-)..
congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs,1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
dear where you call me,0,Dear where you. Call me
is xy going e lunch,0,Is xy going 4 e lunch?
hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,0,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
good good job i like entrepreneurs,0,Good. Good job. I like entrepreneurs
wah okie okie muz make use of e unlimited haha,0,Wah... Okie okie... Muz make use of e unlimited... Haha... 
ok omw now you at castor,0,"Ok omw now, you at castor?"
some of them told accenture is not confirm is it true,0,Some of them told accenture is not confirm. Is it true.
lol ok ill snatch her purse too,0,Lol ok. I'll snatch her purse too.
indeed and by the way it was either or not both,0,Indeed and by the way it was either or - not both !
its a valentine game send dis msg to all ur friends if answers r d same then someone really loves u ques which colour suits me the bestrply me,0,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
please protect yourself from ethreats sib never asks for sensitive information like passwordsatmsms pin thru email never share your password with anybody,0,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
hey is rite u put evey mnth is that all,0,"Hey , is * rite u put Â»10 evey mnth is that all?"
i wud never mind if u dont miss me or if u dont need me but u wil really hurt me wen u need me amp u dont tell me take care,0,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
i thk lor but dunno can get tickets a not wat u doing now,0,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
me too have a lovely night xxx,0,Me too! Have a lovely night xxx
hey pple or for nightsexcellent location wif breakfast hamper,0,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
dunno he jus say go lido same time,0,Dunno he jus say go lido. Same time 930.
its posible dnt live in ltgt century cm frwd n thnk different,0,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different
kkim going to tirunelvali this week to see my uncle i already spend the amount by taking dress so only i want moneyi will give it on feb,0,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
yeah i should be able to ill text you when im ready to meet up,0,"Yeah I should be able to, I'll text you when I'm ready to meet up"
erutupalam thandiyachu,0,Erutupalam thandiyachu
i know complain num onlybettr directly go to bsnl offc nd apply for it,0,I know complain num only..bettr directly go to bsnl offc nd apply for it..
can you just come in for a sec theres somebody here i want you to see,0,Can you just come in for a sec? There's somebody here I want you to see
lol thats different i dont go trying to find every real life photo you ever took,0,Lol that's different. I don't go trying to find every real life photo you ever took.
wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
do not b late love mum,0,DO NOT B LATE LOVE MUM
no current and food here i am alone also,0,No current and food here. I am alone also
do you always celebrate nys with your family,0,Do you always celebrate NY's with your family ?
hey no i ad a crap nite was borin without ya boggy with me u boring biatch thanx but u wait til nxt time il ave ya,0,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya 
yeshere tv is always available in work place,0,Yes:)here tv is always available in work place..
are u awake is there snow there,0,Are u awake? Is there snow there?
i am sorry it hurt you,0,I am sorry it hurt you.
i have no money steve mate,0,I have no money 4 steve mate! !
oh that was a forwarded message i thought you send that to me,0,Oh that was a forwarded message. I thought you send that to me
hi darlin i finish at do u pick me up or meet me text back on this number luv kate xxx,0,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
dont gimme that lip caveboy,0,Dont gimme that lip caveboy
sorry i missed your call lets talk when you have the time im on,1,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
i might go sch yar at e salon now v boring,0,I might go 2 sch. Yar at e salon now v boring.
perhaps is much easy give your account identification so i will tomorrow at uni,0,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
oh k i will come tomorrow,0,Oh k. . I will come tomorrow
yes ammaelife takes lot of turns you can only sit and try to hold the steering,0,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
ok da i already planned i wil pick you,0,"Ok da, i already planned. I wil pick you."
hi this is mandy sullivan calling from hotmix fmyou are chosen to receive in our easter prize drawplease telephone to claim before or your prize will be transferred to someone else,1,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive Â£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
i keep seeing weird shit and bein all woah then realising its actually reasonable and im all oh,0,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh"""
the new deus ex game comin early next yr,0,The new deus ex game comin early next yr
hi did u decide wot get his bday if not ill prob jus get him a voucher frm virgin or sumfing,0,Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing 
pls help me tell ashley that i cant find her number oh,0,Pls help me tell Ashley that i cant find her number oh
god asked what is forgiveness a little child gave lovely reply it is d wonderful fruit that a tree gives when it is being hurt by a stone good night,0,"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......"
themobyo yo yohere comes a new selection of hot downloads for our members to get for free just click open the next link sent to ur fone,1,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...
same wana plan a trip sometme then,0,Same. Wana plan a trip sometme then
wat u doing there,0,Wat u doing there?
no screaming means shouting,0,No screaming means shouting..
i thk gotta go home by urself cos ill b going out shopping my frens present,0,I thk Ã¼ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
sleeping nt feeling well,0,Sleeping nt feeling well
hi dear call me its urgnt i dont know whats your problem you dont want to work or if you have any other problem at least tell me wating for your reply,0,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
baaaaabe i misss youuuuu where are you i have to go and teach my class at,0,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
cool want me to go to kappa or should i meet you outside mu,0,"Cool, want me to go to kappa or should I meet you outside mu"
ok be careful dont text and drive,0,"Ok, be careful ! Don't text and drive !"
i am real baby i want to bring out your inner tigress,0,"I am real, baby! I want to bring out your inner tigress..."
thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,1,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
urgent your mobile no won a bonus caller prize on this is the nd attempt to reach you call asap boxnqp ppm,1,"URGENT! Your mobile No *********** WON a Â£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
u goin out nite,0,U GOIN OUT 2NITE?
yes i thought so thanks,0,Yes i thought so. Thanks.
how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night,1,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
we are hoping to get away by from langport you still up for town tonight,0,"We are hoping to get away by 7, from Langport. You still up for town tonight?"
no its not pride im almost ltgt years old and shouldnt be takin money from my kid youre not supposed to have to deal with this stuff this is grownup stuffwhy i dont tell you,0,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
pls whats the full name of jokes school cos fees in university of florida seem to actually be ltgt k pls holla back,0,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back
they have a thread on the wishlist section of the forums where ppl post nitro requests start from the last page and collect from the bottom up,0,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
well done england get the official poly ringtone or colour flag on yer mobile text tone or flag to now optout txt eng stop box wwx,1,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX Â£1.50
you are not bothering me but you have to trust my answers pls,0,You are not bothering me but you have to trust my answers. Pls.
the guy did some bitching but i acted like id be interested in buying something else next week and he gave it to us for free,0,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
isnt frnd a necesity in life imagine urself witout a frnd hwd u feel at ur colleg watll u do wth ur cell wat abt functions thnk abt events espell cared missed amp irritated u wrd it to all those dearloving frnds wthout whom u cant live i jst did it takecare goodmorning,0,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
haha okay today weekend leh,0,Haha okay... Today weekend leh... 
sorry man my accounts dry or i would if you want we could trade back half or i could buy some shit with my credit card,0,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
nah its straight if you can just bring bud or drinks or something thats actually a little more useful than straight cash,0,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
olol i printed out a forum post by a guy with the exact same prob which was fixed with a gpu replacement hopefully they dont ignore that,0,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
so when you gonna get rimac access,0,So when you gonna get rimac access 
text get more ringtones logos and games from questions,1,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
like a personal sized or what,0,Like a personal sized or what
urgent call from landline your complementary tenerife holiday or cash await collection sae tcs po box wa px ppm sender hol offer,1,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or Â£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
can you talk with me,0,Can you talk with me..
al he does is moan at me if n e thin goes wrong its my faultal de arguments r my faultfed up of him of himso y bother hav go thanxxx,0,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
my fri ah okie lorgoin my drivin den go shoppin after tt,0,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
s finish meeting call me,0,1's finish meeting call me.
your bu voucher wc is marsms log onto for discount credit to opt out reply stop customer care call,1,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
whats the staff name who is taking class for us,0,Whats the staff name who is taking class for us?
we still on for tonight,0,We still on for tonight?
super dagood replacement for murali,0,Super da:)good replacement for murali
where in abj are you serving are you staying with dad or alone,0,Where in abj are you serving. Are you staying with dad or alone.
hey congrats u id luv but ive had go home,0,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
at the funeral home with audrey and dad,0,At the funeral home with Audrey and dad
k wat s tht incident,0,"K, wat s tht incident?"
im sorry ive joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txt poboxoxwwq,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+"
hi this is yijue its regarding the textbook its intro to algorithms second edition im selling it for,0,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
minimum walk is miles a day,0,Minimum walk is 3miles a day.
forgot it takes me years to shower sorry where you atyour phone dead yet,0,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
sports fans get the latest sports news str ur mobile wk free plus a free tone txt sport on to norm txtp,1,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
aww thats the first time u said u missed me without asking if i missed u first you do love me,0,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
aight do you still want to get money,0,Aight do you still want to get money
living is very simple loving is also simple laughing is too simple winning is tooo simple but being simple is very difficult,0,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
do you want a new video phone anytime any network mins text for only five pounds per week call now or reply for delivery tomorrow,1,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
sms services for your inclusive text credits pls gotto login qxj unsubscribe with stop no extra charge help comukcm ae,1,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
in work now going have in few min,0,In work now. Going have in few min.
fran i decided go n e way im completely broke an knackered i got up bout c u mrw love janx ps this is my dads fone no credit,0,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
important information orange user xxxxxx today is ur lucky day find out why log onto theres a fantastic prizeawaiting you,1,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi,0,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
i donno if they are scorable,0,I donno if they are scorable
yesfrom last week itself im taking live call,0,Yes:)from last week itself i'm taking live call.
save money on wedding lingerie at choose from a superb selection with national delivery brought to you by weddingfriend,1,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
i emailed yifeng my part oredi can get it fr him,0,I emailed yifeng my part oredi.. Can Ã¼ get it fr him..
k im leaving soon be there a little after,0,"K I'm leaving soon, be there a little after 9"
wat uniform in where get,0,Wat uniform? In where get?
im in office now i will call you ltgt min,0,I'm in office now . I will call you  &lt;#&gt;  min:)
ok which your another number,0,Ok which your another number
yetunde im in class can you not run water on it to make it ok pls now,0,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ok lor,0,Ok lor.
i am in bus on the way to calicut,0,I am in bus on the way to calicut
your next amazing xxx picsfree video will be sent to you enjoy if one vid is not enough for day text back the keyword picsfree to get the next video,1,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
private your account statement for,1,PRIVATE! Your 2003 Account Statement for 078
dunno y u ask me,0,Dunno y u ask me.
hard live chat just pmin choose your girl and connect live call now cheap chat uks biggest live service vu bcmwcnxx,1,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
send to someone else,0,Send to someone else :-)
k im ready ltgt,0,"K I'm ready,  &lt;#&gt; ?"
if you want to mapquest it or something look up usf dogwood drive thats the tiny street where the parking lot is,0,"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is"
hey ive booked the pilates and yoga lesson already haha,0,Hey i've booked the pilates and yoga lesson already... Haha
bring home some wendy d,0,Bring home some Wendy =D
i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished,0,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
yes baby i need to stretch open your pussy,0,yes baby! I need to stretch open your pussy!
i will take care of financial problemi will help,0,I will take care of financial problem.i will help:)
got meh when,0,Got meh... When?
thanx a lot,0,Thanx a lot...
hey i will be late ah meet you at,0,Hey i will be late ah... Meet you at 945+
have you always been saying welp,0,Have you always been saying welp?
argh why the fuck is nobody in town,0,Argh why the fuck is nobody in town ;_;
did you get any gift this year i didnt get anything so bad,0,Did you get any gift? This year i didnt get anything. So bad
will have two more cartons off u and is very pleased with shelves,0,* Will have two more cartons off u and is very pleased with shelves
er enjoyin indians at the moyep sall good hehe hows bout u shexy pete xx,0,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"
just buy a pizza meat lovers or supreme u get to pick,0,Just buy a pizza. Meat lovers or supreme. U get to pick.
poyyarikaturkolathupalayamunjalur posterode dis ltgt,0,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
be happy there i will come after noon,0,Be happy there. I will come after noon
no i decided that only people who care about stuff vote and caring about stuff is for losers,0,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
oh yes i can speak txt u no hmm did u get email,0,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaidthis friend is u,0,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
i like to talk pa but am not able to i dont know y,0,I like to talk pa but am not able to. I dont know y.
great how is the office today,0,Great! How is the office today?
either way works for me i am ltgt years old hope that doesnt bother you,0,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
ok no wahala just remember that a friend in need,0,Ok. No wahala. Just remember that a friend in need ...
i think chennai well settled,0,I think chennai well settled?
sms services for your inclusive text credits pls goto login qxj unsubscribe with stop no extra charge help comuk cm ae,1,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
come to me slave your doing it again going into your shell and unconsciously avoiding me you are making me unhappy,0,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
well you know what i mean texting,0,Well. You know what i mean. Texting
do you mind if i ask what happened you dont have to say if it is uncomfortable,0,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
probably a couple hours tops,0,Probably a couple hours tops
dear i have reache room,0,Dear i have reache room
get down in gandhipuram and walk to cross cut road right side ltgt street road and turn at first right,0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
hows my favourite person today r u workin hard couldnt sleep again last nite nearly rang u at,0,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
no wonder cos i dun rem seeing a silver car but i thk i saw a black one,0,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
msg me when rajini comes,0,Msg me when rajini comes.
match startedindia ltgt for,0,Match started.india  &lt;#&gt;  for 2
lol i would but despite these cramps i like being a girl,0,Lol I would but despite these cramps I like being a girl.
dunno leh cant remember mayb lor so wat time r we meeting tmr,0,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
alright babe justthought id sayhey how u doinnearly the endof me wk offdam nevamindwe will have hook up sn if uwant m lovejen x,0,"alright babe, justthought iÂd sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."
probably not still going over some stuff here,0,"Probably not, still going over some stuff here"
